Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer_ID,Country,Revenue,Year,Month,YearMonth,Weekday
536365,22752,SET 7 BABUSHKA NESTING BOXES,2.0,2010-12-01 08:26:00,7.65,17850,United Kingdom,15.3,2010,12,2010-12,4
536368,22913,RED COAT RACK PARIS FASHION,3.0,2010-12-01 08:34:00,4.95,13047,United Kingdom,14.850000000000001,2010,12,2010-12,4
536375,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6.0,2010-12-01 09:32:00,3.39,17850,United Kingdom,20.34,2010,12,2010-12,4
536377,22633,HAND WARMER UNION JACK,6.0,2010-12-01 09:34:00,1.85,17850,United Kingdom,11.100000000000001,2010,12,2010-12,4
536388,21754,HOME BUILDING BLOCK WORD,3.0,2010-12-01 09:59:00,5.95,16250,United Kingdom,17.85,2010,12,2010-12,4
536393,22180,RETROSPOT LAMP,8.0,2010-12-01 10:37:00,9.95,13747,United Kingdom,79.6,2010,12,2010-12,4
536396,21071,VINTAGE BILLBOARD DRINK ME MUG,6.0,2010-12-01 10:51:00,1.06,17850,United Kingdom,6.36,2010,12,2010-12,4
536398,22632,HAND WARMER RED RETROSPOT,12.0,2010-12-01 10:52:00,2.1,13448,United Kingdom,25.200000000000003,2010,12,2010-12,4
536401,21464,DISCO BALL ROTATOR BATTERY OPERATED,1.0,2010-12-01 11:21:00,4.25,15862,United Kingdom,4.25,2010,12,2010-12,4
536404,22771,CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,12.0,2010-12-01 11:29:00,1.25,16218,United Kingdom,15.0,2010,12,2010-12,4
536408,22610,PENS ASSORTED FUNNY FACE,36.0,2010-12-01 11:41:00,0.85,14307,United Kingdom,30.599999999999998,2010,12,2010-12,4
536408,22716,CARD CIRCUS PARADE,12.0,2010-12-01 11:41:00,0.42,14307,United Kingdom,5.04,2010,12,2010-12,4
536409,90129F,RED GLASS TASSLE BAG CHARM,1.0,2010-12-01 11:45:00,2.95,17908,United Kingdom,2.95,2010,12,2010-12,4
536412,22630,DOLLY GIRL LUNCH BOX,1.0,2010-12-01 11:49:00,1.95,17920,United Kingdom,1.95,2010,12,2010-12,4
536412,22759,SET OF 3 NOTEBOOKS IN PARCEL,1.0,2010-12-01 11:49:00,1.65,17920,United Kingdom,1.65,2010,12,2010-12,4
536412,21880,RED RETROSPOT TAPE,10.0,2010-12-01 11:49:00,0.65,17920,United Kingdom,6.5,2010,12,2010-12,4
536416,22938,CUPCAKE LACE PAPER SET 6,12.0,2010-12-01 11:58:00,1.95,13255,United Kingdom,23.4,2010,12,2010-12,4
536420,21715,GIRLS VINTAGE TIN SEASIDE BUCKET,8.0,2010-12-01 12:03:00,2.55,16583,United Kingdom,20.4,2010,12,2010-12,4
536420,22357,KINGS CHOICE BISCUIT TIN,4.0,2010-12-01 12:03:00,4.25,16583,United Kingdom,17.0,2010,12,2010-12,4
536460,21484,CHICK GREY HOT WATER BOTTLE,8.0,2010-12-01 12:22:00,3.45,14849,United Kingdom,27.6,2010,12,2010-12,4
536460,21121,SET/10 RED POLKADOT PARTY CANDLES,24.0,2010-12-01 12:22:00,1.25,14849,United Kingdom,30.0,2010,12,2010-12,4
536464,21985,PACK OF 12 HEARTS DESIGN TISSUES ,1.0,2010-12-01 12:23:00,0.29,17968,United Kingdom,0.29,2010,12,2010-12,4
536464,22619,SET OF 6 SOLDIER SKITTLES,1.0,2010-12-01 12:23:00,3.75,17968,United Kingdom,3.75,2010,12,2010-12,4
536477,22593,CHRISTMAS GINGHAM STAR,144.0,2010-12-01 12:27:00,0.72,16210,United Kingdom,103.67999999999999,2010,12,2010-12,4
536520,21584,RETROSPOT SMALL TUBE MATCHES,12.0,2010-12-01 12:43:00,1.65,14729,United Kingdom,19.799999999999997,2010,12,2010-12,4
536522,85231B,CINAMMON SET OF 9 T-LIGHTS,1.0,2010-12-01 12:49:00,0.85,15012,United Kingdom,0.85,2010,12,2010-12,4
536522,37370,RETRO COFFEE MUGS ASSORTED,2.0,2010-12-01 12:49:00,1.25,15012,United Kingdom,2.5,2010,12,2010-12,4
536528,22128,PARTY CONES CANDY ASSORTED,6.0,2010-12-01 13:17:00,1.25,15525,United Kingdom,7.5,2010,12,2010-12,4
536528,22130,PARTY CONE CHRISTMAS DECORATION ,12.0,2010-12-01 13:17:00,0.85,15525,United Kingdom,10.2,2010,12,2010-12,4
536528,22077,6 RIBBONS RUSTIC CHARM,2.0,2010-12-01 13:17:00,1.65,15525,United Kingdom,3.3,2010,12,2010-12,4
536528,22423,REGENCY CAKESTAND 3 TIER,1.0,2010-12-01 13:17:00,12.75,15525,United Kingdom,12.75,2010,12,2010-12,4
536530,22097,SWALLOW SQUARE TISSUE BOX,1.0,2010-12-01 13:21:00,1.25,17905,United Kingdom,1.25,2010,12,2010-12,4
536531,22819,"BIRTHDAY CARD, RETRO SPOT",24.0,2010-12-01 13:23:00,0.42,15485,United Kingdom,10.08,2010,12,2010-12,4
536532,85152,HAND OVER THE CHOCOLATE   SIGN ,24.0,2010-12-01 13:24:00,2.1,12433,Norway,50.400000000000006,2010,12,2010-12,4
536535,20685,DOORMAT RED RETROSPOT,2.0,2010-12-01 13:38:00,7.95,15605,United Kingdom,15.9,2010,12,2010-12,4
536538,22574,HEART WOODEN CHRISTMAS DECORATION,10.0,2010-12-01 13:54:00,0.85,14594,United Kingdom,8.5,2010,12,2010-12,4
536541,21915,RED  HARMONICA IN BOX ,12.0,2010-12-01 14:05:00,1.25,14911,EIRE,15.0,2010,12,2010-12,4
536551,21326,AGED GLASS SILVER T-LIGHT HOLDER,12.0,2010-12-01 14:34:00,0.65,17346,United Kingdom,7.800000000000001,2010,12,2010-12,4
536569,21871,SAVE THE PLANET MUG,1.0,2010-12-01 15:35:00,1.25,16274,United Kingdom,1.25,2010,12,2010-12,4
536588,22961,JAM MAKING SET PRINTED,12.0,2010-12-01 16:49:00,1.45,17069,United Kingdom,17.4,2010,12,2010-12,4
536588,22666,RECIPE BOX PANTRY YELLOW DESIGN,12.0,2010-12-01 16:49:00,2.95,17069,United Kingdom,35.400000000000006,2010,12,2010-12,4
536590,22114,HOT WATER BOTTLE TEA AND SYMPATHY,4.0,2010-12-01 16:52:00,3.95,13065,United Kingdom,15.8,2010,12,2010-12,4
